,Probe_Id,ILMN_Gene
187,ILMN_1657237,NUBP2
188,ILMN_1856533,CDKL2
189,ILMN_2370365,RFC4
190,ILMN_1716421,ADRA1D
191,ILMN_1714412,ZNF292
192,ILMN_1875080,HS.559981
193,ILMN_2405756,VAMP1
194,ILMN_1868756,HS.566311
195,ILMN_1753913,GPR177
196,ILMN_1872104,HS.542600
197,ILMN_1791777,KRTAP5-7
198,ILMN_1796141,PKP3
199,ILMN_1749755,LOC284428
200,ILMN_1723515,VSIG6
201,ILMN_1901689,HS.544014
202,ILMN_1771537,LOC643920
203,ILMN_1651787,MSH5
204,ILMN_1896935,HS.570582
205,ILMN_1886210,HS.553067
206,ILMN_1653828,CHFR
207,ILMN_2099594,SRP9
208,ILMN_1858668,HS.443853
209,ILMN_1693311,TEGT
210,ILMN_1668868,LOC647129
211,ILMN_2290007,COBRA1
212,ILMN_1664118,LOC643665
213,ILMN_1848823,HS.545543
214,ILMN_1664631,ADAM28
215,ILMN_1828491,HS.134728
216,ILMN_1773964,H1FX
217,ILMN_1912417,HS.538610
218,ILMN_1851107,HS.280924
219,ILMN_2185845,BRSK1
220,ILMN_1893409,HS.199708
221,ILMN_1691156,MT1A
222,ILMN_1679960,LCE1A
223,ILMN_1865764,HS.371609
224,ILMN_1781416,FRAT1
225,ILMN_1899392,HS.561046
226,ILMN_1786631,SIX6
227,ILMN_2289301,TCERG1
228,ILMN_1682738,SMAD3
229,ILMN_1863962,HS.209244
230,ILMN_1894309,HS.560007
231,ILMN_1726879,PRR15
232,ILMN_2171640,ZNF650
233,ILMN_1780630,LOC390110
234,ILMN_1656395,MYOT
235,ILMN_1693655,LOC644444
236,ILMN_2374692,WAC
237,ILMN_1815056,LOC653382
238,ILMN_1694530,DDA1
239,ILMN_1778764,BUB3
240,ILMN_2083066,IGLL3
241,ILMN_1670833,KCNG1
242,ILMN_1781150,RBM19
243,ILMN_1795991,C22ORF28
244,ILMN_1666314,RET
245,ILMN_1671225,GPR61
246,ILMN_1715695,S100G
247,ILMN_1842836,HS.562311
248,ILMN_1779475,DAZ2
249,ILMN_1876331,HS.147102
250,ILMN_1732537,HEATR2
251,ILMN_1682407,CYB5R2
252,ILMN_1712556,ZW10
253,ILMN_1652913,EZH2
254,ILMN_1741380,LOC644528
255,ILMN_1661149,LOC643624
256,ILMN_1748844,CNKSR3
257,ILMN_1917189,HS.566265
258,ILMN_1748349,OR10G2
259,ILMN_1784477,PLEKHG5
260,ILMN_2396198,APLP1
261,ILMN_1770044,CHRNA5
262,ILMN_1722981,TLR5
263,ILMN_1786544,ACVR1B
